日付,歩数(歩),しっかり歩数(歩),Ex歩数(歩),歩行距離(km),歩行時間(分),しっかり歩行時間(分),Ex量(Ex),消費カロリー(kcal),脂肪燃焼量(g)
2018/03/11,12688,8805,,,,,,567,81
2018/03/12,12009,6811,,,,,,530,75
2018/03/13,12356,4744,,,,,,473,67
2018/03/14,10512,5181,,,,,,404,57
2018/03/15,2995,1085,,,,,,124,17
2018/03/16,6355,4097,,,,,,296,42
2018/03/17,1074,0,,,,,,8,1
2018/03/18,921,388,,,,,,33,4
2018/03/19,7058,4677,,,,,,319,45
2018/03/20,6560,4528,,,,,,292,41
2018/03/21,6487,4683,,,,,,285,40
2018/03/22,6348,2791,,,,,,248,35
2018/03/23,6768,4606,,,,,,298,42
2018/03/24,0,0,,,,,,0,0
2018/03/25,4191,1669,,,,,,138,19
2018/03/26,7367,4136,,,,,,314,44
2018/03/27,6705,3345,,,,,,284,40
2018/03/28,7817,4631,,,,,,327,46
2018/03/29,9031,6195,,,,,,381,54
2018/03/30,6067,2701,,,,,,249,35
2018/03/31,4473,1696,,,,,,148,21
2018/04/01,1008,225,,,,,,24,3
2018/04/02,8637,3750,,,,,,353,50
2018/04/03,8025,4538,,,,,,339,48
2018/04/04,4366,1374,,,,,,155,22
2018/04/05,6393,3919,,,,,,281,40
2018/04/06,7251,4918,,,,,,352,50
2018/04/07,170,0,,,,,,0,0
2018/04/08,90,0,,,,,,0,0
2018/04/09,7334,4209,,,,,,335,47
2018/04/10,7002,4068,,,,,,311,44
2018/04/11,7590,5304,,,,,,330,47
2018/04/12,6856,3863,,,,,,332,47
2018/04/13,7492,3776,,,,,,393,56
2018/04/14,3537,452,,,,,,94,13
2018/04/15,6010,4402,,,,,,286,40
2018/04/16,7606,3611,,,,,,359,51
2018/04/17,9409,5105,,,,,,465,66
2018/04/18,11313,7525,,,,,,524,74
2018/04/19,15776,10612,,,,,,707,101
2018/04/20,10043,5682,,,,,,445,63
2018/04/21,10589,7542,,,,,,506,72
2018/04/22,11066,7170,,,,,,601,85
2018/04/23,11449,5084,,,,,,522,74
2018/04/24,10026,6070,,,,,,474,67
